V1,V2,V3,start,duration,V6,V7,tier,V9,V10,end,id,source
SPEAKER,MPILab_0001_258640_01_S_Audio,1,91.535,0.682,<NA>,<NA>,CHI,<NA>,<NA>,92.217,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,91.952,1.86,<NA>,<NA>,KCHI,<NA>,<NA>,93.812,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,93.744,1.267,<NA>,<NA>,FEM,<NA>,<NA>,95.011,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,94.201,0.81,<NA>,<NA>,KCHI,<NA>,<NA>,95.011,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,95.479,1.524,<NA>,<NA>,FEM,<NA>,<NA>,97.003,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,96.989,1.213,<NA>,<NA>,KCHI,<NA>,<NA>,98.202,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,97.514,0.201,<NA>,<NA>,CHI,<NA>,<NA>,97.71499999999999,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,98.511,1.726,<NA>,<NA>,KCHI,<NA>,<NA>,100.237,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,100.697,2.621,<NA>,<NA>,SPEECH,<NA>,<NA>,103.318,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,100.742,2.27,<NA>,<NA>,KCHI,<NA>,<NA>,103.012,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,100.776,0.216,<NA>,<NA>,FEM,<NA>,<NA>,100.99199999999999,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,102.701,0.569,<NA>,<NA>,FEM,<NA>,<NA>,103.27,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,103.864,0.982,<NA>,<NA>,SPEECH,<NA>,<NA>,104.846,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,103.891,0.94,<NA>,<NA>,FEM,<NA>,<NA>,104.831,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,105.329,7.501,<NA>,<NA>,SPEECH,<NA>,<NA>,112.83,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,105.341,3.1,<NA>,<NA>,KCHI,<NA>,<NA>,108.44099999999999,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,108.511,4.269,<NA>,<NA>,FEM,<NA>,<NA>,112.78,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,112.993,1.99,<NA>,<NA>,SPEECH,<NA>,<NA>,114.98299999999999,258640,Audio
